Date,Time,Content
200523,154825,"jeehyun-main.link b344fadcff6fe266163f3de3e1b3979e6d5938054fef6809556a6057717cdc71 72.198.67.233 - - WEBSITE.GET.OBJECT 1 GET,/vendor/jquery/jquery.min.js,HTTP/1.1 200 - - - - - http://jeehyun-main.link/ Mozilla/5.0,(Windows,NT,10.0;,Win64;,x64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/113.0.0.0,Safari/537.36 - - - - - jeehyun-main.link - - -"
200523,154825,"jeehyun-main.link b344fadcff6fe266163f3de3e1b3979e6d5938054fef6809556a6057717cdc71 72.198.67.233 - - WEBSITE.GET.OBJECT 1 GET,/,HTTP/1.1 304 - - - - - - Mozilla/5.0,(Windows,NT,10.0;,Win64;,x64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/113.0.0.0,Safari/537.36 - - - - - jeehyun-main.link - - -"
200523,154837,"jeehyun-main.link b344fadcff6fe266163f3de3e1b3979e6d5938054fef6809556a6057717cdc71 72.198.67.233 - - WEBSITE.GET.OBJECT 1 GET,/img/undraw_posting_photo.svg,HTTP/1.1 200 - - - - - http://jeehyun-main.link/index.html Mozilla/5.0,(Windows,NT,10.0;,Win64;,x64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/113.0.0.0,Safari/537.36 - - - - - jeehyun-main.link - - -"
200523,154837,"jeehyun-main.link b344fadcff6fe266163f3de3e1b3979e6d5938054fef6809556a6057717cdc71 72.198.67.233 - - WEBSITE.GET.OBJECT 1 GET,/vendor/chart.js/Chart.min.js,HTTP/1.1 304 - - - - - http://jeehyun-main.link/index.html Mozilla/5.0,(Windows,NT,10.0;,Win64;,x64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/113.0.0.0,Safari/537.36 - - - - - jeehyun-main.link - - -"
200523,154848,"jeehyun-main.link b344fadcff6fe266163f3de3e1b3979e6d5938054fef6809556a6057717cdc71 72.198.67.233 - - WEBSITE.GET.OBJECT 1 GET,/js/demo/datatables-demo.js,HTTP/1.1 200 - - - - - http://jeehyun-main.link/tables.html Mozilla/5.0,(Windows,NT,10.0;,Win64;,x64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/113.0.0.0,Safari/537.36 - - - - - jeehyun-main.link - - -"
200523,154816,"jeehyun-main.link b344fadcff6fe266163f3de3e1b3979e6d5938054fef6809556a6057717cdc71 72.198.67.233 arn:aws:iam::179704931439:user/dhwlgus3456 - REST.GET.OBJECT_LOCK_CONFIGURATION 0 GET,/jeehyun-main.link?object-lock=,HTTP/1.1 404 ObjectLockConfigurationNotFoundError - - - - - S3Console/0.4,cfg/retry-mode/legacy - - SigV4 ECDHE-RSA-AES128-GCM-SHA256 AuthHeader s3.amazonaws.com TLSv1.2 - -"
200523,154825,"jeehyun-main.link b344fadcff6fe266163f3de3e1b3979e6d5938054fef6809556a6057717cdc71 72.198.67.233 - - WEBSITE.GET.OBJECT 1 GET,/vendor/bootstrap/js/bootstrap.bundle.min.js,HTTP/1.1 200 - - - - - http://jeehyun-main.link/ Mozilla/5.0,(Windows,NT,10.0;,Win64;,x64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/113.0.0.0,Safari/537.36 - - - - - jeehyun-main.link - - -"
200523,154837,"jeehyun-main.link b344fadcff6fe266163f3de3e1b3979e6d5938054fef6809556a6057717cdc71 72.198.67.233 - - WEBSITE.GET.OBJECT 1 GET,/img/undraw_profile_2.svg,HTTP/1.1 200 - - - - - http://jeehyun-main.link/index.html Mozilla/5.0,(Windows,NT,10.0;,Win64;,x64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/113.0.0.0,Safari/537.36 - - - - - jeehyun-main.link - - -"
200523,154837,"jeehyun-main.link b344fadcff6fe266163f3de3e1b3979e6d5938054fef6809556a6057717cdc71 72.198.67.233 - - WEBSITE.GET.OBJECT 1 GET,/img/undraw_profile_1.svg,HTTP/1.1 200 - - - - - http://jeehyun-main.link/index.html Mozilla/5.0,(Windows,NT,10.0;,Win64;,x64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/113.0.0.0,Safari/537.36 - - - - - jeehyun-main.link - - -"
200523,154848,"jeehyun-main.link b344fadcff6fe266163f3de3e1b3979e6d5938054fef6809556a6057717cdc71 72.198.67.233 - - WEBSITE.GET.OBJECT 1 GET,/vendor/datatables/dataTables.bootstrap4.min.css,HTTP/1.1 200 - - - - - http://jeehyun-main.link/tables.html Mozilla/5.0,(Windows,NT,10.0;,Win64;,x64),AppleWebKit/537.36,(KHTML,,like,Gecko),Chrome/113.0.0.0,Safari/537.36 - - - - - jeehyun-main.link - - -"
