2012,2013,2014,2015,2016,2017,2018,2019
2,1,1,1,4,3,2,4
,,,,1,1,,
,,,,,,,
,,,,,,,
1,,,1,,1,,
,,1,,,2,,
,,,,,,,
,1,,1,,,1,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,1,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,1,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,2,,1,,,,
,,,,,,,
,,,,1,,,
,,1,,,1,,
1,2,10,8,1,4,6,9
1,6,6,7,4,9,11,19
,,,,,,,
7,5,12,7,6,21,20,32
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,1,1,
,,,,,,,
,,,,,,,
,1,,,2,,,2
,,,,,,,
,,2,,,,1,2
,3,3,1,3,2,3,3
1,7,9,13,12,8,12,15
6,7,8,20,13,13,18,31
,,,,,,,
12,15,22,23,28,22,36,77
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,1,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,1,,
1,,,,,,,
,,,,,,,
,,,,,,1,
1,1,,,4,,,
,,,,2,,,
,,,,,,,
,,,,,,1,5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,1,,1,3,,,
,,,,,,,
181,391,188,185,151,135,91,94
,,,,,,,
,,,,,,,
,,,,,,,
1,1,,,,,,
2,,,,,,,
,,,,,,,
2,1,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,1,,
,,,,,6,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,1,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,1,,,
,,,,,,,
,,,,,,,3
,,,,,,,
,,,,,,,
,,2,2,,,1,1
,2,2,2,4,,2,
1,1,,1,3,,2,1
,,,,,,,
,4,,,1,1,1,3
,,,,,,,
,,,,,,,
,,,,,,,
,1,,,1,,,
4,6,9,2,2,1,,
,,,,,,,
26,18,17,10,4,2,1,2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,1,,,,,,
,,,,,,,
,,1,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
9,9,,,,,,
,,,,,,,
,,,,1,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,1,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,3,,,,,,
,,1,,,,,1
,,,,1,,1,
1,,1,,,2,1,2
1,2,2,5,3,1,2,3
,,,,,,,
4,6,1,2,7,6,6,7
,,,,,,,
,,,,,,,
,,,,,,,
,,1,,,,,
,,1,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,1,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,1,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
9,3,,,,,,
17,15,,,,,,
39,14,,,,,,
55,56,,,,,,
,,,,,,,
117,134,,,,,,
,,1,,2,2,,
,,6,,14,7,5,8
,,5,30,30,20,14,10
,,25,38,56,62,32,20
,,82,73,174,135,103,58
,,191,178,394,269,159,121
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,2,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,2,,,,1,,
,,,,,,,
1,3,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2,,,,,,,1
3,1,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,1,,1,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5,5,,,1,,,
1,,1,,,,,
3,,,,,1,,
1,,,3,5,3,,
15,9,10,11,7,6,2,9
,,,,,,,
36,38,28,13,12,14,19,8
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,4,,,,,,
,,,,,,,
,3,,,,1,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
6,10,,,,,,
118,135,,,,,,
212,222,,,,,,
371,387,,,,,,
308,389,,,,,,
302,430,,,,,,
,,,,,,,
,,22,,12,20,26,17
,,41,34,32,62,53,38
,,34,43,53,64,50,46
,,41,51,48,59,53,33
,,35,41,64,64,51,36
,,,,,,,
,,6,,20,13,15,24
,,11,13,40,18,28,34
,,16,22,35,26,28,21
,,26,30,35,19,34,28
,,45,51,37,31,46,24
,,,1,,,,
,,4,,7,4,18,15
,,1,5,5,10,10,14
,,1,8,9,12,18,19
,,1,5,12,17,14,35
,,5,15,13,23,25,29
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1,,,,,,,
,,,,,,,
,,,,,,,
,,1,,,1,1,
,3,1,1,2,,,1
,,,,,,,
3,2,4,2,2,3,,2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,1
1,4,1,,3,2,2,4
,,,,,,,
2,4,6,3,3,13,2,9
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,1,,,,,,
5,,,,,,,
27,33,44,,8,16,17,12
45,72,52,51,21,21,26,30
45,50,22,26,21,23,13,21
56,33,35,23,15,20,11,18
,,,,,,,
51,28,33,36,29,30,21,17
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,1,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,1,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,1,,,,
,,,,,,,
1,2,2,1,1,,,
1,4,,,,,,
,,,,,,,
,,,,,,,
,,,,,,1,
,,3,,,,,
,,,,,,,
1,,2,1,,,,3
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,1,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,1,,,,,,
231,89,,,,,,
330,116,,,,,,
119,76,,,,,,
53,45,,,,,,
,,,,,,,
31,10,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,1,1,,,
,,,,,,,
,,,,,,,
,,,,,,,4
,3,1,1,1,6,1,4
2,2,4,7,7,5,4,4
,,,,,,,
4,7,9,5,10,15,12,17
11,3,,,1,,,
,2,,,,1,1,
3,8,1,2,1,,3,
108,94,47,52,61,99,76,135
94,88,55,77,101,92,106,170
,,,,,,,
106,119,96,98,163,133,125,214
37,32,,1,,,,
1,4,3,,3,2,2,5
9,17,12,7,5,20,13,3
110,127,121,144,187,203,141,108
110,96,110,118,181,145,94,83
,,,,,,,
94,93,89,130,268,212,117,116
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,4,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
52,25,5,,2,3,,
69,55,34,,11,4,,
124,66,19,33,25,11,5,3
176,89,59,66,38,37,7,8
187,117,96,122,42,49,21,22
,,,,,,,
401,373,253,263,171,88,33,53
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,2,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1,,,,,,,
,,,,,,,
,,,,,,,
